T,N,Delta,Delta_err
0.5,256,0.00153752,0.00068707
0.5,625,0.00636319,0.0012439476
0.5,1296,0.007922,0.0015474657
0.5,2401,0.0205896,0.0021721462
0.5,4096,0.0299284,0.0030732063
0.5,6561,0.0435216,0.0037188336999999998
