Sigma,N,Delta,Delta_err
0.6,64,0.023838141025641024,0.002185238805015167
0.6,128,0.03770833333333334,0.002802838343140356
0.6,256,0.050416666666666665,0.0032409060804383426
0.6,512,0.0796327924850555,0.004123229700219463
0.6,1024,0.10921052631578948,0.00489384070272399
