sigma,L,T,mean,sem
0.25,64,0.5,5.539018092489977,0.01629884784600512
0.25,64,0.525,5.136695728290007,0.015482760885181803
0.25,64,0.55,4.753740218689995,0.014656725465042925
0.25,64,0.575,4.3907373389199895,0.013820638247512158
0.25,64,0.6,4.044612496589987,0.01297384950799037
0.25,64,0.625,3.723017670209983,0.012147878396727294
0.25,64,0.65,3.420255111289982,0.011322022370354949
0.25,64,0.675,3.1357166883099925,0.010513557031874106
0.25,64,0.7,2.8721688354299997,0.009711904954644864
0.25,64,0.725,2.6300618617900104,0.008945147564484215
0.25,64,0.75,2.406052894669995,0.008204021040887733
0.25,64,0.775,2.200250518420003,0.0074853518801526716
0.25,64,0.8,2.0127123259100084,0.006795665411332941
0.25,64,0.825,1.841873549930007,0.006151791607279985
0.25,64,0.85,1.6871204328800031,0.005540862712495062
0.25,64,0.875,1.5474592015199993,0.0049762408005308645
0.25,64,0.9,1.4217112724499996,0.004447226280097192
0.25,64,0.925,1.3085354616100084,0.0039575125004105175
0.25,64,0.95,1.2076802397700015,0.003514513979936209
0.25,64,0.975,1.1173017407400043,0.0031101962346499136
0.25,64,1.0,1.0367229615,0.002745020455684661
0.25,64,1.025,0.9650691236900004,0.00241763473634986
0.25,64,1.05,0.9010229337000032,0.0021245423948401424
0.25,64,1.075,0.8443759015799999,0.0018654381181190413
0.25,64,1.1,0.7939083612600045,0.0016354081429760824
0.25,64,1.125,0.7487611534699965,0.0014360641615108814
0.25,64,1.15,0.7086057762100034,0.0012575992993683032
0.25,64,1.175,0.6728702783700015,0.001102653931458217
0.25,64,1.2,0.6408525387899995,0.0009698715830890653
0.25,64,1.225,0.6122390464500033,0.0008522377873275282
0.25,64,1.25,0.5865752269199983,0.0007508326572586549
0.25,64,1.275,0.5635280062100001,0.0006619377559827893
0.25,64,1.3,0.5426193760300002,0.0005861368639269606
0.25,64,1.325,0.5238195033500012,0.0005199920084316933
0.25,64,1.35,0.5068067029300007,0.0004631100151615122
0.25,64,1.375,0.491435048080001,0.0004124649997229447
0.25,64,1.4,0.4773627901300024,0.00036930166775932873
0.25,64,1.425,0.4645408367700017,0.00033092641561200184
0.25,64,1.45,0.4528352823399989,0.00029821844516984586
0.25,64,1.475,0.44202933568,0.0002696693071048849
0.25,64,1.5,0.4321991980999996,0.00024483881614036817
0.25,64,1.525,0.4230915169900002,0.00022203140885662797
0.25,64,1.55,0.4146878642799978,0.0002031600542377749
0.25,64,1.575,0.4068868512800026,0.00018609546902367187
0.25,64,1.6,0.3997154761200006,0.00017088946843195132
0.25,64,1.625,0.3930599878100003,0.00015815882036592107
0.25,64,1.65,0.3868349982999988,0.00014595940336935406
