N,Delta,Delta_err
64,0.0390687,0.0027217130999999998
128,0.060731799999999996,0.0032800693
256,0.0845624,0.0039017329999999997
512,0.15093199999999998,0.0050682164000000005
1024,0.18867899999999999,0.0071816824
2048,0.260265,0.007984403900000001
3072,0.281873,0.008197848399999999
