T,N,Delta,Delta_err
0.4,64,0.21427100000000002,0.0058670428000000005
0.4,216,0.23412,0.0060131572999999995
0.4,512,0.25671700000000003,0.00611733
0.4,1000,0.262843,0.006211405
0.4,1728,0.26650300000000005,0.0077471389000000005
