sigma,z,L,T,mean,sem
0.25,6,8192,1.9,3.2582894044849264,0.032328513230105306
0.25,6,8192,1.925,2.7260336761185,0.026783873191895343
0.25,6,8192,1.95,2.270317026774545,0.0218887917784476
0.25,6,8192,1.975,1.8908715068128912,0.017650711992640768
0.25,6,8192,2.0,1.573500908468366,0.013997758872538959
0.25,6,8192,2.025,1.3123386828674406,0.010925936323923352
0.25,6,8192,2.05,1.1000142947842946,0.008425656531586959
0.25,6,8192,2.075,0.9282863470608632,0.006426174776285034
0.25,6,8192,2.1,0.7893011166588387,0.004832371116716681
0.25,6,8192,2.125,0.6778953100460265,0.003626727156263249
0.25,6,8192,2.15,0.5880074372909434,0.002697583783231056
0.25,6,8192,2.175,0.5156475483651995,0.002004558196324693
0.25,6,8192,2.2,0.457080294285464,0.001502137726120177
0.25,6,8192,2.225,0.4089964832191646,0.001130977227158535
0.25,6,8192,2.25,0.36995683274383945,0.0008582420843129069
0.25,6,8192,2.275,0.3371999314022485,0.0006622829326024264
0.25,6,8192,2.3,0.3099236183744856,0.0005228051122680062
0.25,6,8192,2.325,0.2868634912853921,0.00041658867613096043
0.25,6,8192,2.35,0.2670392514229941,0.00033760358345555987
0.25,6,8192,2.375,0.25001005911654745,0.0002843717653220828
0.25,6,8192,2.4,0.2352045702742456,0.0002343503689132624
0.25,6,8192,2.425,0.22217080279764795,0.00020086790634416568
0.25,6,8192,2.45,0.21091397077854404,0.0001768829711465087
0.25,6,8192,2.475,0.2008537414425413,0.00015557120820086496
0.25,6,8192,2.5,0.19172076927276888,0.00014038103374989594
