Sigma,N,Delta,Delta_err
0.0,64,0.035516969218626675,0.0026472785842538947
0.0,128,0.05337608449641645,0.0031728788836779937
0.0,256,0.06863323500491642,0.0036738528401709745
0.0,512,0.09460813790338746,0.0043546925200241395
0.0,1024,0.12344466273739359,0.006357723588391487
