sigma,z,L,T,mean,sem
0.375,6,4096,1.962,1.7667835345599958,0.008131395295658447
0.375,6,4096,1.975,1.6412366089599968,0.007399937611264766
0.375,6,4096,1.988,1.5248601629440015,0.006715796489567207
0.375,6,4096,2.0,1.4183227057920067,0.006088223389535156
0.375,6,4096,2.013,1.3201281755520005,0.005513547327674903
0.375,6,4096,2.025,1.2290636777600024,0.0049701434688551255
0.375,6,4096,2.0380000000000003,1.1456448272959971,0.004474803659106915
0.375,6,4096,2.05,1.0689660035840007,0.004018720888278471
0.375,6,4096,2.062,0.9990326290240014,0.0036083644770747826
0.375,6,4096,2.075,0.9346624643840021,0.003233617490274225
0.375,6,4096,2.087,0.8757553619520008,0.002891061890192522
0.375,6,4096,2.1,0.8216441725439987,0.002580612781017016
0.375,6,4096,2.19,0.5461714914880001,0.001121971938858464
0.375,6,4096,2.28,0.39659427011199977,0.0005015424608788079
0.375,6,4096,2.37,0.31000759037119946,0.0002505334677314913
0.375,6,4096,2.47,0.2512125799679993,0.0001370461048137383
0.375,6,4096,2.57,0.213310812112,8.729699929987698e-05
0.375,6,4096,2.67,0.1869506259488,6.239061075399271e-05
0.375,6,4096,2.78,0.16625660803199988,4.7132972769355046e-05
0.375,6,4096,2.9,0.14970190711039968,3.738497334903324e-05
0.375,6,4096,3.02,0.1372733976383996,3.1616582238820366e-05
0.375,6,4096,3.14,0.1275641229183994,2.687395084524876e-05
0.375,6,4096,3.27,0.11932799123199987,2.3913317623194283e-05
0.375,6,4096,3.4,0.11267120323199982,2.1458235584712796e-05
0.375,6,4096,3.54,0.10689121869759972,1.951489817614288e-05
0.375,6,4096,3.69,0.10179378233600007,1.8100494980323042e-05
0.375,6,4096,3.84,0.0976459759008004,1.7030800602818884e-05
0.375,6,4096,4.0,0.09393084578559993,1.603512221350869e-05
