sigma,z,L,T,mean,sem
0.25,6,4096,1.9,2.6630282364159914,0.019116092063132258
0.25,6,4096,1.925,2.298071689087998,0.016274629768210598
0.25,6,4096,1.95,1.983789599679998,0.013790343152476871
0.25,6,4096,1.975,1.7118904716159988,0.011552377423254762
0.25,6,4096,2.0,1.478627343488,0.009550370356336685
0.25,6,4096,2.025,1.2806145059200005,0.007863584987972535
0.25,6,4096,2.05,1.1121412136959965,0.006410190815606989
0.25,6,4096,2.075,0.9705493102720004,0.005175309521392502
0.25,6,4096,2.1,0.8510890915839995,0.004150511467852325
0.25,6,4096,2.125,0.7512827980800012,0.0033058075733180853
0.25,6,4096,2.15,0.6675396530559997,0.002630064566195743
0.25,6,4096,2.175,0.5968959125120011,0.0020768181025025033
0.25,6,4096,2.2,0.5379597095040003,0.0016445944948375846
0.25,6,4096,2.225,0.4880109139199996,0.0013037340376704301
0.25,6,4096,2.25,0.4461727736960007,0.0010379660074550752
0.25,6,4096,2.275,0.4103312151680003,0.0008240598652146039
0.25,6,4096,2.3,0.3794874584319989,0.0006687884343092586
0.25,6,4096,2.325,0.3529047332479999,0.0005480292078849222
0.25,6,4096,2.35,0.32990906764799954,0.00044975254184731565
0.25,6,4096,2.375,0.30993390494719963,0.0003774783764176279
0.25,6,4096,2.4,0.2924392162815994,0.00031569169673449995
0.25,6,4096,2.425,0.276914530048,0.00027150206638964586
0.25,6,4096,2.45,0.2631530082879992,0.00023809921080503746
0.25,6,4096,2.475,0.2509059783552001,0.00020687010871274186
0.25,6,4096,2.5,0.2399658491904,0.000182015306200084
