sigma,z,L,T,mean,sem
0.375,6,2048,1.95,0.2669092903769861,0.0014665171569361454
0.375,6,2048,1.962,0.2510147271446952,0.001436606218860244
0.375,6,2048,1.975,0.2351742028401129,0.0014058330440529705
0.375,6,2048,1.988,0.2194581138582056,0.001367937562728184
0.375,6,2048,2.0,0.20475166473898093,0.0013320517492845054
0.375,6,2048,2.013,0.1899579600153284,0.001290804880925985
0.375,6,2048,2.025,0.1764993174108108,0.001262144565196667
0.375,6,2048,2.0380000000000003,0.16307522581333786,0.00122734035862868
0.375,6,2048,2.05,0.15054833837473672,0.0011929676422781333
0.375,6,2048,2.062,0.13864461169559006,0.0011445242605362359
0.375,6,2048,2.075,0.1275818980023824,0.0011058473374332212
0.375,6,2048,2.087,0.1168506174420755,0.0010743940238383653
0.375,6,2048,2.1,0.10672234659398806,0.0010363610131697368
0.375,6,2048,2.23,0.040710083468567325,0.0006053315524758906
0.375,6,2048,2.36,0.01807781851377047,0.0003400453904225472
0.375,6,2048,2.5,0.009300564504828131,0.0002784507391346749
0.375,6,2048,2.65,0.005505744814350914,0.0002679741848756872
0.375,6,2048,2.81,0.003903622399233051,0.00027338051802354234
0.375,6,2048,2.98,0.002987440129535573,0.0002729653671803687
0.375,6,2048,3.16,0.0018919452204792038,0.00027120612015979235
0.375,6,2048,3.36,0.0017692992064417452,0.00027108979966190464
0.375,6,2048,3.56,0.0009200069410948321,0.0002754229868441728
0.375,6,2048,3.77,0.0012599915457537914,0.00027310630817155567
0.375,6,2048,4.0,0.0009182335693646713,0.0002733747863402073
