sigma,z,L,T,mean,sem
0.25,6,512,1.85,2.0360244358399946,0.009764609906131328
0.25,6,512,1.875,1.886515760560005,0.008910157842716643
0.25,6,512,1.9,1.7490299407999912,0.008121966758093466
0.25,6,512,1.925,1.6214492400799985,0.0073753609424220485
0.25,6,512,1.95,1.5054142832320003,0.0066875470998573
0.25,6,512,1.975,1.398579857119998,0.006031111079008716
0.25,6,512,2.0,1.3018665185440004,0.005462138608102193
0.25,6,512,2.025,1.2123562152720009,0.004921472256756157
0.25,6,512,2.05,1.131028920399997,0.0044311776893076905
0.25,6,512,2.075,1.0570839328479982,0.003977957974666002
0.25,6,512,2.1,0.9895848031439984,0.0035793648206571115
0.25,6,512,2.125,0.9277353009359984,0.003215719076697944
0.25,6,512,2.15,0.8716348725599972,0.002875926779076185
0.25,6,512,2.175,0.8205850234560008,0.002583065494938021
0.25,6,512,2.2,0.7747118767760038,0.0023184009103350387
0.25,6,512,2.225,0.7318795772559992,0.002082407112535269
0.25,6,512,2.25,0.6929028430240002,0.0018600352680276859
0.25,6,512,2.275,0.6578453800880019,0.0016678605062706664
0.25,6,512,2.3,0.6255940643200004,0.0015045804167985778
0.25,6,512,2.325,0.5961425449360002,0.0013536307234541026
0.25,6,512,2.35,0.5688929651119997,0.001209944353717038
0.25,6,512,2.375,0.5444605884000028,0.001090640328448076
0.25,6,512,2.4,0.5214238885760002,0.0009841988617259846
0.25,6,512,2.425,0.5006401211440002,0.0008874918877395789
0.25,6,512,2.45,0.4812456834080005,0.0008070972662995474
0.25,6,512,2.475,0.4633976135199986,0.0007330444546760233
0.25,6,512,2.5,0.4473000686719995,0.0006694794870266678
