N,Delta,Delta_err
64,0.565312,0.0069632923
128,0.6171260000000001,0.006675672099999999
256,0.6285149999999999,0.0067761496
512,0.641211,0.0067906804000000005
1024,0.6394880000000001,0.0088134128
2048,0.670199,0.0085550864
3072,0.688247,0.008440146800000001
