b,mean,sem
1,0.413913965294,0.000721325875215
2,0.348237223898,0.000664838409324
3,0.306455467929,0.000680444007141
4,0.272120954922,0.000757406000619
5,0.241300213431,0.000971420361133
6,0.211779262119,0.00127449508407
7,0.176660206307,0.00172702334342
8,0.136297072354,0.00246469025157
9,0.0914378303256,0.00315990455949
10,0.0482893121664,0.00343466665502
11,0.0231581101296,0.00341441058918
12,0.0080706945536,0.00324547359527
13,0.00170027322,0.0032121421728
14,-0.0002474210504,0.00311383964463
15,-0.0011521107504,0.0030603925739
16,-0.0008315237472,0.00304286812598
