Sigma,N,Delta,Delta_err
0.784,64,0.001142334932602239,0.0005108677124742494
0.784,128,0.0015810276679841897,0.000558977692637587
0.784,256,0.0029250457038391227,0.0007312614259597807
0.784,512,0.007297868254273094,0.0011838705594332582
0.784,1024,0.010946327683615819,0.00139018500600491
