sigma,L,T,mean,sem
0.25,64,0.5,0.7550754863101716,0.0013380652214986983
0.25,64,0.525,0.7363280602811242,0.0013799591565138195
0.25,64,0.55,0.716302649779509,0.0014209939328118837
0.25,64,0.575,0.6950299814212599,0.001460949992737484
0.25,64,0.6,0.6720834599597512,0.0015004052274725714
0.25,64,0.625,0.6482460393868039,0.0015363746515107085
0.25,64,0.65,0.6230351265149261,0.0015675133690872805
0.25,64,0.675,0.5959406687602429,0.001596975411252816
0.25,64,0.7,0.5678864417596182,0.0016169260467384064
0.25,64,0.725,0.5388685644882896,0.0016312046509997756
0.25,64,0.75,0.5088694489417079,0.0016355083559992307
0.25,64,0.775,0.4781796357307296,0.0016288208728905706
0.25,64,0.8,0.4469238165769176,0.001608513733368711
0.25,64,0.825,0.4156533439284166,0.0015797052998076744
0.25,64,0.85,0.3844843282618991,0.0015362836327266704
0.25,64,0.875,0.35379686963429785,0.0014844123013287413
0.25,64,0.9,0.3241496319161545,0.001419251392211687
0.25,64,0.925,0.2957894439985705,0.00134594144638057
0.25,64,0.95,0.26862370595546303,0.001270888575400826
0.25,64,0.975,0.2432945433765649,0.0011874673749789272
0.25,64,1.0,0.21985320621172344,0.0011014574527924519
0.25,64,1.025,0.19834779574382072,0.0010174988222666217
0.25,64,1.05,0.17894343621031786,0.0009338980825588172
0.25,64,1.075,0.16123477020277174,0.0008542206971018742
0.25,64,1.1,0.14548422944620626,0.0007760942978144289
0.25,64,1.125,0.13155282056245746,0.0007067872834792193
0.25,64,1.15,0.11927792650667372,0.0006390857264972541
0.25,64,1.175,0.10870554450430474,0.0005784438385287089
0.25,64,1.2,0.0991616246132786,0.0005257870552726349
0.25,64,1.225,0.09094951728339888,0.0004669620361674873
0.25,64,1.25,0.08369569512922093,0.00042085473414984976
0.25,64,1.275,0.07714172147179757,0.00038211200333245854
0.25,64,1.3,0.07227475944454957,0.00034664200243515584
0.25,64,1.325,0.06726900357164195,0.0003112127175387741
0.25,64,1.35,0.06304602379259991,0.0002882667465243934
0.25,64,1.375,0.059224176887262225,0.00026298767554943514
0.25,64,1.4,0.05573523456540254,0.00024464345792947343
0.25,64,1.425,0.05310406643311753,0.0002266128930743576
0.25,64,1.45,0.05032762240895758,0.00021774422737214744
0.25,64,1.475,0.04843965018365369,0.00020701112744312468
0.25,64,1.5,0.046101845592317114,0.00019854134497611665
0.25,64,1.525,0.044009714549154616,0.0001937227614426497
0.25,64,1.55,0.0427890524112498,0.00018647004232474483
0.25,64,1.575,0.04117572669380608,0.00018524028510665701
0.25,64,1.6,0.039573711715747535,0.00018291146655652576
0.25,64,1.625,0.038485401386405466,0.00018198488932456722
0.25,64,1.65,0.03718134933985673,0.0001812747566603173
