Sigma,N,Delta,Delta_err
0.784,64,0.12177290381539868,0.005274569970580395
0.784,128,0.1233201581027668,0.004936757310986876
0.784,256,0.12285191956124314,0.004739115684393317
0.784,512,0.12271941617053966,0.004854705073848488
0.784,1024,0.13012005649717515,0.004793033884356718
