sigma,z,L,T,mean,sem
0.375,6,256,1.863,1.7117923497346952,0.003861839060679247
0.375,6,256,1.875,1.661841766823298,0.0037199618995939795
0.375,6,256,1.887,1.6131964100344434,0.0035806292243118244
0.375,6,256,1.9,1.566356441969789,0.003444114432367575
0.375,6,256,1.913,1.5204858102414525,0.0033104099714446893
0.375,6,256,1.925,1.4768698546175396,0.0031840117802135505
0.375,6,256,1.938,1.4346142307871088,0.0030615161101669305
0.375,6,256,1.95,1.3942428155102058,0.002940343081232068
0.375,6,256,1.962,1.3551686218758372,0.002824617202698105
0.375,6,256,1.975,1.317001057400006,0.002713588955649489
0.375,6,256,1.988,1.2807456132016686,0.0026054084417933983
0.375,6,256,2.0,1.2456477741452323,0.002497097924660281
0.375,6,256,2.013,1.211809380631898,0.002397021241416784
0.375,6,256,2.025,1.1792661117988823,0.0023012924371736713
0.375,6,256,2.0380000000000003,1.1478352307760082,0.0022093752093938148
0.375,6,256,2.05,1.1176396043710957,0.002117919800548481
0.375,6,256,2.062,1.088817493056961,0.002029308863719261
0.375,6,256,2.075,1.0604571654987882,0.0019456351014626601
0.375,6,256,2.087,1.0336650324412582,0.00186552916644745
0.375,6,256,2.1,1.0076785592756736,0.001787098658526367
0.375,6,256,2.47,0.5493797323006109,0.0005159926803029873
0.375,6,256,2.9,0.3651590590615326,0.00016745692400540834
0.375,6,256,3.4,0.2811351178057205,7.7081882761404e-05
0.375,6,256,4.0,0.2358717262557937,4.7659442835456766e-05
