N,Delta,Delta_err
64,0.414167,0.0069192076
128,0.44775600000000004,0.0068291452
256,0.46942,0.0069985933
512,0.505713,0.0070783967000000005
1024,0.526617,0.009164775200000001
2048,0.5728479999999999,0.009001345899999999
