L,k,LogSweeps,mean,sem,knorm
14,10000,10,41.66989052902347,0.0019296704095642047,1.0
14,11000,10,21.282111505845265,0.0009063917285759508,1.4142135623730951
14,11110,10,10.768182567521881,0.0006111585051163896,2.0
14,20000,10,11.319291878942115,0.0007857971992071067,2.0
