Sigma,N,Delta,Delta_err
0.784,64,0.15695681973954764,0.005988276180982936
0.784,128,0.16027667984189722,0.005628075441066459
0.784,256,0.17239488117001828,0.005613949737763834
0.784,512,0.18129441136931054,0.005900630495770008
0.784,1024,0.18591101694915255,0.005729159865673712
