d,L,Q,Av,Median
3,10,0.0,0.000206363,9.46224e-07
3,10,0.002,0.00061917,2.83867e-06
3,10,0.004,0.0010321,4.68642e-06
3,10,0.006,0.0014452,6.571410000000001e-06
3,10,0.008,0.00185863,8.49366e-06
3,10,0.01,0.00227237,1.0348900000000002e-05
3,10,0.012,0.00268657,1.23158e-05
3,10,0.013999999999999999,0.00310125,1.45063e-05
3,10,0.016,0.00351651,1.65924e-05
3,10,0.018000000000000002,0.00393231,1.86935e-05
3,10,0.02,0.00434866,2.09436e-05
3,10,0.022000000000000002,0.00476569,2.2918000000000003e-05
3,10,0.024,0.00518327,2.51681e-05
3,10,0.026000000000000002,0.00560146,2.7515e-05
3,10,0.027999999999999997,0.00602019,2.9437199999999997e-05
3,10,0.03,0.00643948,3.18661e-05
3,10,0.032,0.00685929,3.46079e-05
3,10,0.034,0.00727948,3.73721e-05
3,10,0.036000000000000004,0.00770007,3.99798e-05
3,10,0.038,0.00812094,4.28557e-05
3,10,0.04,0.00854204,4.56125e-05
3,10,0.042,0.00896326,4.93303e-05
3,10,0.044000000000000004,0.00938465,5.21615e-05
3,10,0.046,0.00980608,5.61848e-05
3,10,0.048,0.0102274,5.95003e-05
3,10,0.05,0.010648600000000001,6.32033e-05
3,10,0.052000000000000005,0.0110697,6.5811e-05
3,10,0.054000000000000006,0.0114906,6.92084e-05
3,10,0.055999999999999994,0.0119113,7.32243e-05
3,10,0.057999999999999996,0.012331700000000001,7.66367e-05
3,10,0.06,0.012751799999999999,8.19564e-05
3,10,0.062,0.013171700000000001,8.68589e-05
3,10,0.064,0.013591399999999998,9.25437e-05
3,10,0.066,0.0140108,9.74089e-05
3,10,0.068,0.014430100000000001,0.00010115700000000001
3,10,0.07,0.0148493,0.000105403
3,10,0.07200000000000001,0.0152684,0.000110589
3,10,0.07400000000000001,0.0156875,0.00011523100000000001
3,10,0.076,0.0161067,0.000119321
3,10,0.078,0.016526,0.000123896
3,10,0.08,0.016945500000000002,0.000130288
3,10,0.08199999999999999,0.017365400000000003,0.000137575
3,10,0.084,0.0177855,0.000141256
3,10,0.086,0.0182061,0.000149228
3,10,0.08800000000000001,0.018627099999999997,0.000158131
3,10,0.09,0.0190487,0.00016600599999999998
3,10,0.092,0.0194708,0.00017391099999999998
3,10,0.094,0.019893400000000002,0.000178255
3,10,0.096,0.0203167,0.000184923
3,10,0.098,0.0207405,0.000191785
3,10,0.1,0.0211649,0.00020013
3,10,0.102,0.02159,0.00020825900000000003
3,10,0.10400000000000001,0.022015599999999996,0.00021787
3,10,0.106,0.0224419,0.000227325
3,10,0.10800000000000001,0.022868700000000002,0.000234582
3,10,0.11,0.0232961,0.000243582
3,10,0.11199999999999999,0.023724099999999998,0.000255741
3,10,0.114,0.0241526,0.00026628400000000004
3,10,0.11599999999999999,0.0245816,0.000278838
3,10,0.11800000000000001,0.025011099999999998,0.00028795
3,10,0.12,0.025441099999999998,0.000295244
3,10,0.122,0.0258715,0.000306264
3,10,0.124,0.026302499999999996,0.000315093
3,10,0.126,0.0267337,0.000328884
3,10,0.128,0.0271655,0.000340752
3,10,0.13,0.0275976,0.000354141
3,10,0.132,0.028030000000000003,0.00036603199999999997
3,10,0.134,0.0284628,0.00037713300000000004
3,10,0.136,0.028895999999999998,0.000392288
3,10,0.138,0.0293295,0.000410207
3,10,0.14,0.0297633,0.000428118
3,10,0.142,0.0301973,0.00043834699999999996
3,10,0.14400000000000002,0.0306317,0.00045166199999999997
3,10,0.146,0.0310663,0.00047265699999999997
3,10,0.14800000000000002,0.0315012,0.000492774
3,10,0.15,0.0319363,0.00051076
3,10,0.152,0.032371699999999996,0.000527523
3,10,0.154,0.0328074,0.000543281
3,10,0.156,0.0332433,0.000562012
3,10,0.158,0.0336795,0.000584111
3,10,0.16,0.034116,0.00059814
3,10,0.162,0.0345527,0.0006094869999999999
3,10,0.16399999999999998,0.0349899,0.0006245000000000001
3,10,0.166,0.0354275,0.000633113
3,10,0.168,0.0358654,0.000662193
3,10,0.17,0.036303800000000004,0.000685252
3,10,0.172,0.0367426,0.0007129539999999999
3,10,0.174,0.037181900000000004,0.000736743
3,10,0.17600000000000002,0.0376217,0.000765108
3,10,0.17800000000000002,0.0380622,0.0007949989999999999
3,10,0.18,0.038503300000000004,0.000817813
3,10,0.182,0.038945,0.0008468260000000001
3,10,0.184,0.0393875,0.000859469
3,10,0.18600000000000003,0.0398309,0.000894576
3,10,0.188,0.040275099999999994,0.000930466
3,10,0.19,0.0407203,0.0009578760000000001
3,10,0.192,0.0411666,0.000984617
3,10,0.19399999999999998,0.0416139,0.00101749
3,10,0.196,0.0420624,0.00104225
3,10,0.198,0.04251219999999999,0.00108232
3,10,0.2,0.0429633,0.00111074
3,10,0.20199999999999999,0.043415800000000004,0.00114141
3,10,0.204,0.043869599999999995,0.00117248
3,10,0.20600000000000002,0.044324800000000004,0.00120907
3,10,0.20800000000000002,0.0447815,0.00124224
3,10,0.21,0.0452396,0.00127533
3,10,0.212,0.0456991,0.00131977
3,10,0.214,0.0461601,0.00137752
3,10,0.21600000000000003,0.0466224,0.00140273
3,10,0.218,0.0470861,0.00144646
3,10,0.22,0.0475511,0.00148297
3,10,0.222,0.0480175,0.00154836
3,10,0.22399999999999998,0.0484851,0.00157966
3,10,0.226,0.048954000000000004,0.00161565
3,10,0.228,0.049424199999999995,0.00165454
3,10,0.23,0.049895499999999995,0.00171798
3,10,0.23199999999999998,0.050368,0.00175457
3,10,0.23399999999999999,0.0508417,0.0018012
3,10,0.23600000000000002,0.0513164,0.00186677
3,10,0.23800000000000002,0.0517923,0.00192119
3,10,0.24,0.0522692,0.00197942
3,10,0.242,0.052747300000000004,0.00201732
