quantity,Tc,Tc_err,A,A_err,Q
G,2.062507003564942,0.009674552833569019,-5.890765895188417,1.0366615364628808,0.2648383562239598
chi,2.046477409423402,0.004872588529861938,-0.5103046697550968,0.4484846251836782,0.2736642700746913
