Sigma,N,Delta,Delta_err
0.896,64,0.08,0.005547001962252291
0.896,128,0.07186030893216924,0.004010851324640456
0.896,256,0.08591282375236892,0.004253318567429807
0.896,512,0.08275426405559065,0.0041744004214779975
0.896,1024,0.087597388923984,0.004294815340992028
