s,L,mean,std
1.5,8,-1.7691181377589982,0.06996853451427756
1.5,12,-1.780806940566748,0.06717343400476848
1.5,16,-1.9504841768255263,0.07903210567233121
1.5,24,-1.8480158075205506,0.07718037086243779
