sigma,L,T,mean,sem
0.0,4096,0.85,7.67618238860801,0.0506318910671052
0.0,4096,0.875,5.753935190079992,0.039691336435235806
0.0,4096,0.9,4.202141310783995,0.02967927906321827
0.0,4096,0.925,2.9864593489919997,0.02134650091144846
0.0,4096,0.95,2.075490120127998,0.014407359809976266
0.0,4096,0.975,1.4305852581760043,0.009114247734317031
0.0,4096,1.0,0.9955218569600018,0.005398488551411853
0.0,4096,1.025,0.7120066624000003,0.0029342622126118678
0.0,4096,1.05,0.5314709772159989,0.0015504373320743275
0.0,4096,1.075,0.4161945118079996,0.0007983957459528713
0.0,4096,1.1,0.34000876064,0.0004243889532142444
0.0,4096,1.125,0.28820914405759995,0.00024086250148408662
0.0,4096,1.15,0.25115922017919995,0.0001506804673438259
0.0,4096,1.175,0.2236706671168001,0.00010049202556253374
0.0,4096,1.2,0.2026297656960003,7.289628523305445e-05
0.0,4096,1.225,0.1860019979455999,5.8452772108599084e-05
0.0,4096,1.25,0.1726749833407999,4.906785279505183e-05
0.0,4096,1.275,0.16173357154560009,4.180129933258401e-05
0.0,4096,1.3,0.15263080708479984,3.8177391214598074e-05
0.0,4096,1.325,0.14484829003520028,3.522603316036126e-05
0.0,4096,1.35,0.13821406811519973,3.242969186467657e-05
0.0,4096,1.375,0.13245240424319996,3.0920019358568875e-05
0.0,4096,1.4,0.12737074983680016,2.9151163838949873e-05
0.0,4096,1.425,0.12301248909439999,2.859358043660971e-05
0.0,4096,1.45,0.1191194407039998,2.71211693962085e-05
0.0,4096,1.475,0.1155511427008,2.5999253642071382e-05
0.0,4096,1.5,0.11239763857280008,2.617022391848229e-05
0.0,4096,1.525,0.10955917004799992,2.530190044018325e-05
