N,Delta,Delta_err
64,0.334254,0.0066263487
128,0.338174,0.006497139
256,0.337266,0.0066299527
512,0.35277600000000003,0.0067650354
1024,0.355795,0.008787797
2048,0.399007,0.008910898399999999
3072,0.408699,0.0089573307
