N,b,r,mean,sem
16384,14,0,1.0,0.0
16384,14,1,0.2601260339,0.000285583970785
16384,14,3,0.1654619114,0.000325278233599
16384,14,7,0.11468386315,0.000346646269537
16384,14,15,0.08212448024,0.000364479169552
16384,14,31,0.05951979147,0.000373539929849
16384,14,63,0.04279068487,0.000381714129818
16384,14,127,0.030857887002,0.000395566390603
16384,14,255,0.0213837896056,0.000391266436411
16384,14,511,0.0142064582878,0.00038125266213
16384,14,1023,0.0094809286311,0.000379301495929
16384,14,2047,0.00628220116177,0.000353373639372
16384,14,4095,0.00407455266515,0.000363084326078
16384,14,8191,0.00322488766422,0.000436849669246
