Sigma,N,Q,Mean,Mean_err,Median,Median_err
0.896,512,0.0,0.0,0.0,0.0,0.0
0.896,512,0.00390625,0.0006656618523970038,3.709496620480555e-05,2.06271515777781e-06,2.976036222792112e-07
0.896,512,0.0078125,0.0013313333513093868,7.398470639652533e-05,4.136696648172002e-06,5.893557567567544e-07
0.896,512,0.01171875,0.0019967938950209998,0.00011046157505210287,6.336294069372923e-06,8.346173998474339e-07
0.896,512,0.015625,0.0026616805984803473,0.00014634070879091028,8.626763218618323e-06,1.1511684183898879e-06
0.896,512,0.01953125,0.0033260254588620432,0.00018148830678035472,1.09257547310578e-05,1.3101039583192932e-06
0.896,512,0.0234375,0.003989743236364905,0.0002157827818128578,1.3497997033456987e-05,1.6249779236884321e-06
0.896,512,0.02734375,0.004652686955236769,0.000249134941388957,1.612642776631616e-05,1.948840549501783e-06
0.896,512,0.03125,0.005315106710325433,0.0002815087938378677,1.8813188837538902e-05,2.1635402412701598e-06
0.896,512,0.03515625,0.005977416985411639,0.00031289339982681804,2.1862014098707744e-05,2.6102420361540825e-06
0.896,512,0.0390625,0.006640003527290307,0.0003433084997903768,2.4624161380226982e-05,2.9477154188875105e-06
0.896,512,0.04296875,0.007303550049632713,0.00037281648788183193,2.8037249485407298e-05,3.464263810384601e-06
0.896,512,0.046875,0.007969179176359842,0.0004015249689858154,3.1409325633364786e-05,3.8778082185557285e-06
0.896,512,0.05078125,0.008637980764035031,0.00042955077441957155,3.482718039204497e-05,4.33540050886234e-06
0.896,512,0.0546875,0.009310915680188075,0.0004570121624636305,3.838411675291732e-05,4.604122024960514e-06
0.896,512,0.05859375,0.00998879552640658,0.00048403322398161736,4.2773011670705606e-05,4.858037935708531e-06
0.896,512,0.0625,0.010672164520837347,0.0005107187656521097,4.7024924392668465e-05,5.8125378650783525e-06
0.896,512,0.06640625,0.011361126838779809,0.0005371377690094851,5.185398478907411e-05,6.5312502062178e-06
0.896,512,0.0703125,0.012055507766428875,0.0005633321318993504,5.724650851028793e-05,6.695386386655084e-06
0.896,512,0.07421875,0.012754836800544891,0.0005893057377965725,6.220285829849949e-05,7.207679272138656e-06
0.896,512,0.078125,0.013458425243020227,0.000615029877783086,6.870917235940286e-05,8.08996744446902e-06
0.896,512,0.08203125,0.014165690875495338,0.0006404641317968366,7.451771877349175e-05,9.359425825790544e-06
0.896,512,0.0859375,0.014876015542038618,0.0006655551134168595,8.096083037178064e-05,9.819835988509465e-06
0.896,512,0.08984375,0.015588896821957358,0.000690258619953429,8.788990651306504e-05,1.0314791728759076e-05
0.896,512,0.09375,0.016304116870717752,0.000714540801770455,9.533733722354054e-05,1.0603148908896005e-05
0.896,512,0.09765625,0.017021403255120623,0.0007383717158228109,0.00010321917254129886,1.1562112992233529e-05
0.896,512,0.1015625,0.01774042298180076,0.0007617389284595079,0.00011121141802374357,1.2283280649634475e-05
0.896,512,0.10546875,0.01846084791900809,0.0007846325140431187,0.00012138089339282454,1.365163890539943e-05
0.896,512,0.109375,0.019182072686703206,0.0008070423017969967,0.00013133477783382669,1.4440647085971481e-05
0.896,512,0.11328125,0.01990348200544523,0.0008289612443882057,0.00014094233112690478,1.560739548787875e-05
0.896,512,0.1171875,0.020624628956854168,0.0008503985960011687,0.00015190054849608225,1.6362772378947116e-05
0.896,512,0.12109375,0.02134511836710641,0.0008713716222661932,0.00016276053400818318,1.7208576368679856e-05
0.896,512,0.125,0.022064721875975225,0.0008918965207905806,0.00017392315331621775,1.9435626030116553e-05
0.896,512,0.12890625,0.022783462447749956,0.0009120041340661258,0.00018586298075601722,2.114018690721717e-05
0.896,512,0.1328125,0.023501604335915607,0.0009317365926777001,0.00019838546213191705,2.3460565383889726e-05
0.896,512,0.13671875,0.024219548132264446,0.0009511391197184768,0.00021312861938007293,2.6994671806927128e-05
0.896,512,0.140625,0.02493771310262555,0.0009702513798179592,0.00022725326018918597,3.094178162949831e-05
0.896,512,0.14453125,0.0256565030801892,0.000989106223932349,0.00024456092524234634,3.3599543269742094e-05
0.896,512,0.1484375,0.02637605095984602,0.0010077368153739773,0.0002592271146076968,3.345201185836046e-05
0.896,512,0.15234375,0.027096287155537593,0.001026167561993315,0.0002780768676071976,3.6897900370725794e-05
0.896,512,0.15625,0.027817125020333545,0.0010444111602605141,0.0002939336510944246,3.963877143196834e-05
0.896,512,0.16015625,0.02853829601184487,0.0010624673422455952,0.0003110634041340269,4.154544872865703e-05
0.896,512,0.1640625,0.029259590237251606,0.0010803311268369055,0.0003283486299488384,4.122042874057003e-05
0.896,512,0.16796875,0.029980558667654828,0.0010979824389083174,0.00035190005510178033,4.481844873828227e-05
0.896,512,0.171875,0.03070104735482282,0.001115400017733795,0.0003732941803831288,4.866326794201021e-05
0.896,512,0.17578125,0.031421237384822186,0.001132568624192959,0.0003957002921968685,5.267054529204074e-05
0.896,512,0.1796875,0.03214118906617822,0.0011494721940646453,0.00042065779444107863,5.449262899678795e-05
0.896,512,0.18359375,0.03286138846900554,0.0011661134658545265,0.0004452442466059998,6.050181163583765e-05
0.896,512,0.1875,0.03358246016947886,0.0011825033380884655,0.0004664626225416517,5.8947057695826154e-05
0.896,512,0.19140625,0.03430483095012707,0.001198649176804633,0.0004973297266448727,5.7463900741781837e-05
0.896,512,0.1953125,0.035029074345204345,0.0012145631624293383,0.0005266209475832148,5.9078395894720367e-05
0.896,512,0.19921875,0.03575594599808854,0.0012302681590854983,0.0005567804156207339,5.9747040105965094e-05
0.896,512,0.203125,0.03648597722470785,0.0012457891641264032,0.0005875226272004182,6.0870636045995446e-05
0.896,512,0.20703125,0.037219657836154725,0.0012611539560577307,0.0006252967902887297,6.48513858383189e-05
0.896,512,0.2109375,0.03795731069091024,0.0012763938069672131,0.0006592198058769236,6.53150347248432e-05
0.896,512,0.21484375,0.038698934335766856,0.0012915326726912414,0.000701358011483131,6.984765387625467e-05
0.896,512,0.21875,0.03944422581261052,0.0013065795855125098,0.000740234787284698,7.36431291994814e-05
0.896,512,0.22265625,0.040192882155795695,0.0013215368544536555,0.0007848087875328071,7.367780968480143e-05
0.896,512,0.2265625,0.040944790596434355,0.001336412460355008,0.0008243814167484462,7.299723717017065e-05
0.896,512,0.23046875,0.041699669178539255,0.001351216296006144,0.0008726461387025975,7.493148924058051e-05
0.896,512,0.234375,0.04245733150229367,0.0013659658897930789,0.0009174738319727782,7.850233125676841e-05
0.896,512,0.23828125,0.04321764516935998,0.0013806798868033464,0.0009707378746223638,7.596120918493596e-05
0.896,512,0.2421875,0.04398027146108966,0.001395373470598064,0.0010184526369770566,7.961213970129414e-05
0.896,512,0.24609375,0.04474478256868678,0.001410053378061158,0.0010758064852453336,8.767951508837199e-05
0.896,512,0.25,0.045510913251881766,0.0014247206821607068,0.0011294441865566873,9.475709519607303e-05
0.896,512,0.25390625,0.04627841036839823,0.0014393757993152146,0.0011783085182066088,9.740333310124924e-05
0.896,512,0.2578125,0.04704706803547154,0.0014540144344926656,0.0012433301307261313,0.00010888051215931484
