sigma,z,L,T,mean,sem
0.0,6,512,1.85,0.3485723878408857,0.0021783814874044593
0.0,6,512,1.875,0.32575663571999625,0.0021277607552456774
0.0,6,512,1.9,0.3040534136493734,0.00206076778531991
0.0,6,512,1.925,0.2820876021058797,0.001990139247872051
0.0,6,512,1.95,0.2608453557543359,0.0019166731301751047
0.0,6,512,1.975,0.2401632336513141,0.0018460592926684387
0.0,6,512,2.0,0.22057611717739628,0.0017530527886122922
0.0,6,512,2.025,0.20244866414760865,0.0016779200384038925
0.0,6,512,2.05,0.1836467239534669,0.0015756159989232731
0.0,6,512,2.075,0.16738046258413028,0.0014913897412012966
0.0,6,512,2.1,0.15260504810547376,0.001411751169902859
0.0,6,512,2.125,0.13870173731355231,0.0013296978109729554
0.0,6,512,2.15,0.12430489009954945,0.0012593503216904976
0.0,6,512,2.175,0.11191837262276158,0.0011650683210017276
0.0,6,512,2.2,0.1014012948553504,0.001098883995115275
0.0,6,512,2.225,0.09187758930094003,0.0010302185156349168
0.0,6,512,2.25,0.08321502731593633,0.000997199092217659
0.0,6,512,2.275,0.07369858252371357,0.0009143315750978234
0.0,6,512,2.3,0.06759662430626884,0.0008796220353192604
0.0,6,512,2.325,0.061559452034610135,0.0008414783376098754
0.0,6,512,2.35,0.05592877688507937,0.0008061672291375881
0.0,6,512,2.375,0.05015866176752279,0.0007470554781075082
0.0,6,512,2.4,0.045966049746901584,0.000728114700044009
0.0,6,512,2.425,0.04202053926653533,0.0006894620950667889
0.0,6,512,2.45,0.03861080009643765,0.0006897557336693192
0.0,6,512,2.475,0.0352573869881986,0.0006719558040496485
0.0,6,512,2.5,0.032863038640402166,0.0006486453210039726
