quantity,Tc,Tc_err,A,A_err,Q
G,1.0066631374297978,0.003999072425786272,-1.664769450424752,0.18439319125044237,0.29485182573355617
chi,1.002018092445903,0.001284126785886543,-0.26565295045762377,0.04645125761226459,0.73003123315326
