sigma,z,L,T,mean,sem
0.25,6,2048,1.85,0.407253163051704,0.0033114156005569005
0.25,6,2048,1.875,0.3743544129487666,0.0032565412971899297
0.25,6,2048,1.9,0.33996431669394905,0.0031762297151922262
0.25,6,2048,1.925,0.3063607220994372,0.003072918889802237
0.25,6,2048,1.95,0.2732112947045339,0.002942005035428597
0.25,6,2048,1.975,0.2404733049441313,0.0027978251322206588
0.25,6,2048,2.0,0.20971848333313847,0.0026246043999537147
0.25,6,2048,2.025,0.18140859057539846,0.002443336886675389
0.25,6,2048,2.05,0.15461615681971988,0.002258515532137129
0.25,6,2048,2.075,0.13163454754993198,0.002102245705144612
0.25,6,2048,2.1,0.1100992721152517,0.0019469609845454265
0.25,6,2048,2.125,0.09260577160812232,0.001787773520083389
0.25,6,2048,2.15,0.07631158615016882,0.001613929498410671
0.25,6,2048,2.175,0.06394660110736411,0.0015168555910305135
0.25,6,2048,2.2,0.05237735454608508,0.0013608853355310765
0.25,6,2048,2.225,0.04288059300508131,0.0012754010717086106
0.25,6,2048,2.25,0.03558850591339071,0.0011407912793677429
0.25,6,2048,2.275,0.029787153879911536,0.0010770662165130492
0.25,6,2048,2.3,0.026224995021194387,0.0009134593110731749
0.25,6,2048,2.325,0.021877495846619983,0.0008332428820767959
0.25,6,2048,2.35,0.017155028867362566,0.000793703138028974
0.25,6,2048,2.375,0.016477585331970482,0.0006778634137273118
0.25,6,2048,2.4,0.0146992552821901,0.000646301958710918
0.25,6,2048,2.425,0.013517295987263377,0.0006118212552318347
0.25,6,2048,2.45,0.01119268558754429,0.0006269495564116195
0.25,6,2048,2.475,0.009524503902922556,0.0005799420910541597
0.25,6,2048,2.5,0.009405888397931043,0.0005685236896505638
