sigma,L,T,mean,sem
0.25,2048,0.75,0.7526732109380322,0.0026061768587896865
0.25,2048,0.775,0.7267442458068023,0.002706099228279864
0.25,2048,0.8,0.693674453671935,0.002820544230279165
0.25,2048,0.825,0.6527264606456984,0.002974778334800921
0.25,2048,0.85,0.6023552439637093,0.003108451182788273
0.25,2048,0.875,0.5410840610256118,0.00323657017364157
0.25,2048,0.9,0.4685946972585262,0.003298927655333809
0.25,2048,0.925,0.3857590806018695,0.0032411634125749057
0.25,2048,0.95,0.29993306761938426,0.002999455926936741
0.25,2048,0.975,0.2148103799543193,0.0025980540499791352
0.25,2048,1.0,0.1426498130990977,0.0021443696603485637
0.25,2048,1.025,0.08738163961824923,0.0016100583228823193
0.25,2048,1.05,0.05078014190564622,0.0011973976599368435
0.25,2048,1.075,0.02941516910453568,0.000856525231084147
0.25,2048,1.1,0.018654638429762258,0.0005927879897528012
0.25,2048,1.125,0.012022804884630648,0.00047811178655905213
0.25,2048,1.15,0.008429390468498072,0.0004161802639343656
0.25,2048,1.175,0.0070023565782108745,0.0003963777682798004
0.25,2048,1.2,0.005436243176267091,0.0003838218938219364
0.25,2048,1.225,0.004364611660824547,0.0003859381587286897
0.25,2048,1.25,0.0034840224853637178,0.0003791832686573357
0.25,2048,1.275,0.0034868327424312315,0.0003886464493177221
0.25,2048,1.3,0.0026368382346621164,0.0003841618773985128
0.25,2048,1.325,0.002309583080676682,0.0003799246926413378
0.25,2048,1.35,0.002841477445325418,0.00038099059044973196
0.25,2048,1.375,0.0023579519339650907,0.00038014426661526335
0.25,2048,1.4,0.001991151102565803,0.00038633988096319646
0.25,2048,1.425,0.0016924287389089,0.00038466673950788237
0.25,2048,1.45,0.0018512631957115504,0.00038763419138654456
0.25,2048,1.475,0.002001554011945973,0.0003880024606689087
0.25,2048,1.5,0.0014438148034891785,0.00039119683715443254
