sigma,z,L,T,mean,sem
0.25,6,256,1.85,0.3338571240020273,0.002107043235860018
0.25,6,256,1.875,0.3164210946328281,0.002054253770847372
0.25,6,256,1.9,0.2976733088677505,0.001998886665033552
0.25,6,256,1.925,0.2806114413838049,0.0019380680994220247
0.25,6,256,1.95,0.2633471603230507,0.0018710311140437163
0.25,6,256,1.975,0.2472970394271052,0.0018107794867505426
0.25,6,256,2.0,0.2310547599848576,0.0017512200230519086
0.25,6,256,2.025,0.21564956098363616,0.001677907639262279
0.25,6,256,2.05,0.20100323647219606,0.001623187428285092
0.25,6,256,2.075,0.18641536003176004,0.0015412126603459994
0.25,6,256,2.1,0.17438897984946028,0.0014901267432787786
0.25,6,256,2.125,0.16164776230377031,0.0014172328534612993
0.25,6,256,2.15,0.14961505591957916,0.0013523602425949215
0.25,6,256,2.175,0.13930086707540165,0.0012869936154523034
0.25,6,256,2.2,0.12952925122066147,0.0012366696200849113
0.25,6,256,2.225,0.12014210763482053,0.0011629465892761454
0.25,6,256,2.25,0.1110756775912862,0.0011142425910851542
0.25,6,256,2.275,0.1023540254484364,0.0010782720698600749
0.25,6,256,2.3,0.09551803247140074,0.0010043382786148023
0.25,6,256,2.325,0.08872116651789272,0.0009772616366122428
0.25,6,256,2.35,0.08190619117551398,0.0009411114945155893
0.25,6,256,2.375,0.07614315296074088,0.000884925561226927
0.25,6,256,2.4,0.07138082726632022,0.000889295926825677
0.25,6,256,2.425,0.06587289404087253,0.0008120933123416134
0.25,6,256,2.45,0.06240911639785941,0.0007969174063128242
0.25,6,256,2.475,0.05779608029068831,0.0007852584535262598
0.25,6,256,2.5,0.054656120822366386,0.0007504372012032451
