sigma,z,L,T,mean,sem
0.0,6,256,1.85,0.3332478420257936,0.002142644676528885
0.0,6,256,1.875,0.3153889764702038,0.002105333713715831
0.0,6,256,1.9,0.29719954244717994,0.0020506012063558933
0.0,6,256,1.925,0.2788617043240085,0.001998473111988661
0.0,6,256,1.95,0.2622087725519225,0.0019447408759593703
0.0,6,256,1.975,0.24574150366067204,0.001876594756460464
0.0,6,256,2.0,0.2304290013057657,0.0018081875194513337
0.0,6,256,2.025,0.21498603507492453,0.0017613257853306176
0.0,6,256,2.05,0.20123720908236384,0.0016768297155526747
0.0,6,256,2.075,0.1874910813406844,0.0016303500184661644
0.0,6,256,2.1,0.1731240717861863,0.00157206438726887
0.0,6,256,2.125,0.16118387698896458,0.0015251520034765135
0.0,6,256,2.15,0.15097231364199132,0.0014643747734137097
0.0,6,256,2.175,0.13916762170091093,0.0014074776640049516
0.0,6,256,2.2,0.12803683784964134,0.0013334022809345755
0.0,6,256,2.225,0.11940580617722188,0.0013121264803792009
0.0,6,256,2.25,0.11105434569188682,0.0012353959542788493
0.0,6,256,2.275,0.10219083276039306,0.0011935197397313641
0.0,6,256,2.3,0.09436287081969677,0.0011768967041480849
0.0,6,256,2.325,0.08856010620628155,0.0010976070509637627
0.0,6,256,2.35,0.08171745977905769,0.001092558835790487
0.0,6,256,2.375,0.07541834699302988,0.0010694737189307657
0.0,6,256,2.4,0.07305437547969686,0.001018039672770259
0.0,6,256,2.425,0.06624547901589596,0.0009752130598594703
0.0,6,256,2.45,0.0626723694098771,0.0009709883621094867
0.0,6,256,2.475,0.05724191025659059,0.0009473122058285336
0.0,6,256,2.5,0.05318237988612063,0.0009288286099722905
