N,b,r,C4_mean,C4_sem,alpha_mean,alpha_sem
67108864,6,0,1.0,0.0,,
67108864,6,1,0.195096769843,2.70080629586e-06,-0.532777565648,0.000278784351805
67108864,6,3,0.102015300914,2.72833230004e-06,-0.644057915833,0.000132124627026
67108864,6,7,0.0572959530418,2.77839444151e-06,-0.715445359999,0.000104512824778
67108864,6,15,0.0324881411423,2.71463377537e-06,-0.773751883052,0.000156724245968
67108864,6,31,0.0181567525196,2.6581932547e-06,-0.82845560201,0.00023412938096
67108864,6,63,0.00990774674413,2.65237732769e-06,-0.879133019717,0.000372657327888
67108864,6,127,0.00526229363642,2.6864215354e-06,-0.924903342798,0.000733531587687
67108864,6,255,0.00272535827285,2.57383281593e-06,-0.967004761924,0.00106732942775
67108864,6,511,0.00136829600065,2.60521320924e-06,-1.00589519524,0.00195247781371
67108864,6,1023,0.000674324941384,2.54691542949e-06,-1.04114867874,0.00324760177406
67108864,6,2047,0.000322995566789,2.58338725191e-06,-1.07289892888,0.00587578802041
67108864,6,4095,0.0001515421788,2.59385603268e-06,-1.1013422163,0.0121655727356
67108864,6,8191,6.99986916113e-05,2.64080773348e-06,-1.12054549618,0.0219392910569
67108864,6,16383,3.34859542339e-05,2.5897376186e-06,-1.12183241789,0.0814583333202
67108864,6,32767,1.44239203793e-05,2.58278220575e-06,-1.18123953487,0.299870844512
67108864,6,65535,3.18780299445e-06,2.5734688268e-06,,
67108864,6,131071,6.06629509504e-06,2.50625441271e-06,,
67108864,6,262143,-3.20477580553e-06,2.53743767624e-06,,
67108864,6,524287,-6.45853169712e-09,2.52174907735e-06,,
67108864,6,1048575,2.13571978584e-06,2.62319041104e-06,,
67108864,6,2097151,-1.9535256564e-06,2.52376745246e-06,,
67108864,6,4194303,-2.48417094856e-06,2.55472100195e-06,,
67108864,6,8388607,2.05806765594e-06,2.50972833008e-06,,
67108864,6,16777215,-3.9197349173e-06,2.56376079408e-06,,
67108864,6,33554431,1.47594955464e-06,3.06756261278e-06,,
