N,Delta,Delta_err
64,0.248619,0.006071261800000001
128,0.257639,0.0060061132
256,0.2588,0.0061419229
512,0.288435,0.0064139344
1024,0.307278,0.008468632299999999
2048,0.343046,0.0086385368
