L,Temp,LogSweeps,mean,sem
20,8.76732,10,0.943031007854,0.000360606614341
20,8.768041,10,0.933894964319,0.000448947073986
20,8.768762,10,0.920289747854,0.000498207426594
20,8.769484,10,0.906677916887,0.00056596231026
20,8.770205,10,0.888199031791,0.000684688591754
20,8.770926,10,0.864626341219,0.000800296814684
20,8.771648,10,0.836290563938,0.000982116625598
20,8.772369,10,0.807833518116,0.00102343657362
20,8.77309,10,0.76983844864,0.00112793442521
20,8.773811,10,0.732030762241,0.00122483352342
20,8.774533,10,0.687460988103,0.00140113043877
20,8.775254,10,0.643444038406,0.00160636685694
20,8.775975,10,0.596333790003,0.00162268242089
20,8.776697,10,0.549472546427,0.00178407162167
20,8.777418,10,0.507131630279,0.00189782938818
20,8.778139,10,0.463209704481,0.00208658590701
#20,8.77846,10,0.450754417885,0.00425829604196
20,8.778861,10,0.421642019338,0.00216090092838
20,8.779582,10,0.383613091111,0.0025353431257
20,8.780303,10,0.346819632029,0.00261701839529
20,8.781025,10,0.311069271709,0.00280938378038
20,8.781746,10,0.287872838274,0.00280316100852
20,8.782467,10,0.25539331373,0.00288387927421
20,8.783189,10,0.236830483946,0.00328743900499
20,8.78391,10,0.209930864463,0.00361384907709
20,8.784631,10,0.189158026175,0.00367053648643
20,8.785352,10,0.170802910841,0.00354839890184
20,8.786074,10,0.157645501199,0.0038228518448
20,8.786795,10,0.148549618789,0.00401126010717
20,8.787516,10,0.13226685288,0.00418742898821
20,8.788238,10,0.115687974069,0.00445507293104
20,8.788959,10,0.115534630476,0.00420487764421
20,8.78968,10,0.0941069484473,0.0045630812035
