s,L,mean,std
1.5,8,-2.1202916816780815,0.03687306225598335
1.5,12,-2.267887303155246,0.039690491741583935
1.5,16,-2.3255303714473423,0.034711997850278446
1.5,24,-2.333501876405989,0.04027410486280284
