N,b,r,C4_mean,C4_sem,alpha_mean,alpha_sem
67108864,8,0,1.0,0.0,,
67108864,8,1,0.207571031136,2.58171209075e-06,-0.504343261397,0.000204680565911
67108864,8,3,0.113315602872,2.66897671297e-06,-0.594544744348,9.62065225675e-05
67108864,8,7,0.066783049876,2.69682855383e-06,-0.651596512366,5.78798044222e-05
67108864,8,15,0.0399148431527,2.76704852351e-06,-0.699942605054,0.000125801279528
67108864,8,31,0.0235885903655,2.74647944357e-06,-0.749532981093,0.000127880693215
67108864,8,63,0.0136208486423,2.73089300171e-06,-0.798981122352,0.000265202531643
67108864,8,127,0.00765113605614,2.63366246863e-06,-0.846575462949,0.000378092742857
67108864,8,255,0.00417096344321,2.60945339772e-06,-0.892704485416,0.000702596246349
67108864,8,511,0.00220777282311,2.60078061657e-06,-0.935908171502,0.00110842004665
67108864,8,1023,0.00114011386919,2.531208382e-06,-0.975282871477,0.00291920497118
67108864,8,2047,0.000572881259204,2.4893563645e-06,-1.01448623954,0.00412338699567
67108864,8,4095,0.000274931894676,2.58495833441e-06,-1.0552728006,0.0140006741095
67108864,8,8191,0.000131936016884,2.56727497292e-06,-1.07076283715,0.0217948588093
67108864,8,16383,6.71450290381e-05,2.49775874049e-06,-1.04955405455,0.0812947222747
67108864,8,32767,2.99133437326e-05,2.49506664412e-06,-1.17102098806,0.267203293818
67108864,8,65535,1.10965902934e-05,2.54225750933e-06,,
67108864,8,131071,9.34263741815e-06,2.48488897979e-06,,
67108864,8,262143,-8.35502741364e-07,2.43902802773e-06,,
67108864,8,524287,-1.0433075861e-06,2.5203701213e-06,,
67108864,8,1048575,-2.60591097095e-06,2.50540459458e-06,,
67108864,8,2097151,-1.28446711705e-06,2.51007412226e-06,,
67108864,8,4194303,-2.07149950701e-06,2.49026094621e-06,,
67108864,8,8388607,2.6851520251e-06,2.4916373612e-06,,
67108864,8,16777215,-1.40051815399e-06,2.48097570421e-06,,
67108864,8,33554431,1.20531278956e-06,3.10574260107e-06,,
