N,b,r,mean,sem
4194304,14,0,1.0,0.0
4194304,14,1,0.2316748025,1.31695997802e-05
4194304,14,3,0.1369606722,1.45745977754e-05
4194304,14,7,0.08837149481,1.52747226423e-05
4194304,14,15,0.05866029567,1.5554944364e-05
4194304,14,31,0.03907023315,1.59752467418e-05
4194304,14,63,0.02577966715,1.61350567608e-05
4194304,14,127,0.01671943391,1.59607992003e-05
4194304,14,255,0.010589055112,1.52644961863e-05
4194304,14,511,0.006537805451,1.4891740449e-05
4194304,14,1023,0.003906746187,1.4624911259e-05
4194304,14,2047,0.0022512515917,1.49549199703e-05
4194304,14,4095,0.00129232605338,1.40393572774e-05
4194304,14,8191,0.000674613145834,1.41128704631e-05
4194304,14,16383,0.000375095838658,1.40931974282e-05
4194304,14,32767,0.000182505733803,1.35948981473e-05
4194304,14,65535,0.000102588685504,1.37249280505e-05
4194304,14,131071,5.3674490336e-05,1.41208627241e-05
4194304,14,262143,8.2942762673e-06,1.38407305672e-05
4194304,14,524287,1.25639515197e-05,1.35213905634e-05
4194304,14,1048575,-8.9122367691e-06,1.3773627783e-05
4194304,14,2097151,-2.468498454e-05,1.84235178006e-05
