T,N,Delta,Delta_err
0.5,256,0.412054,0.008631186899999999
0.5,625,0.415076,0.007708401899999999
0.5,1296,0.427179,0.0086346577
0.5,2401,0.432382,0.0075778259
0.5,4096,0.45445699999999994,0.0089806746
0.5,6561,0.446179,0.0090605805
