Sigma,N,Delta,Delta_err
0.896,64,0.026923076923076925,0.003217923178977214
0.896,128,0.021714797403178866,0.002204803626997113
0.896,256,0.026321330806485577,0.0023542513976624446
0.896,512,0.027374184038745,0.002400874763316778
0.896,1024,0.03158559696778269,0.0025789531930755717
