Sigma,N,Delta,Delta_err
0.6,64,0.00020032051282051281,0.00020032051282051281
0.6,128,0.00020833333333333335,0.00020833333333333335
0.6,256,0.000625,0.00036084391824351607
0.6,512,0.0023484201537147735,0.0007080753181800597
0.6,1024,0.007894736842105263,0.0013157894736842105
