sigma,z,L,T,mean,sem
0.0,6,16384,2.0,0.2598439507026462,0.0038904699969586507
0.0,6,16384,2.025,0.20132354812537825,0.003427706290172789
0.0,6,16384,2.05,0.14843494372177696,0.002936197625847325
0.0,6,16384,2.075,0.10463123168739097,0.0024554233460246247
0.0,6,16384,2.1,0.07000013985478785,0.0020144366174924275
0.0,6,16384,2.14,0.036257616876221546,0.0014746688350583015
0.0,6,16384,2.18,0.017859203820899373,0.00101110905824084
0.0,6,16384,2.22,0.009145508917854595,0.0007174238821018655
0.0,6,16384,2.26,0.005078449801068893,0.0005975721602727076
0.0,6,16384,2.3,0.0035036002835418184,0.0005570092700929799
0.0,6,16384,2.35,0.0024289622267669613,0.0005435632451845784
0.0,6,16384,2.4,0.001724038553775075,0.0005466948320171144
0.0,6,16384,2.45,0.000984756414938303,0.0005358538924514778
0.0,6,16384,2.5,0.001052622931073416,0.000535953860560121
