Sigma,N,Delta,Delta_err
0.784,64,0.05323280785926433,0.003487397194990575
0.784,128,0.05711462450592886,0.0033596837944664033
0.784,256,0.0773308957952468,0.0037599568192327485
0.784,512,0.11100441713078549,0.004617175064402269
0.784,1024,0.1472457627118644,0.005098703770548605
