quantity,Tc,Tc_err,A,A_err,Q
G,0.9980602037045974,0.005993777223386575,-1.3523295868194607,0.2963500596827892,0.020701225716146965
chi,0.9990228023406562,0.0015784065255863855,-0.17023139493317963,0.05838816055992074,0.4815163054689263
