Sigma,N,Delta,Delta_err
0.0,64,0.0001973164956590371,0.0001973164956590371
0.0,128,0.0016974726518294984,0.0005658242172764995
0.0,256,0.007079646017699115,0.0011799410029498525
0.0,512,0.019643215073160955,0.001984264368933988
0.0,1024,0.06745252128356254,0.004699639847546603
