N,b,r,mean,sem
262144,14,0,1.0,0.0
262144,14,1,0.2397448608,5.69220584611e-05
262144,14,3,0.1448348102,6.49894070782e-05
262144,14,7,0.09549511866,6.94449767297e-05
262144,14,15,0.06480092597,7.09631011838e-05
262144,14,31,0.04412532563,7.21817990225e-05
262144,14,63,0.02985999029,7.37579857339e-05
262144,14,127,0.0199620606,7.24671526621e-05
262144,14,255,0.012916248239,7.07260809541e-05
262144,14,511,0.008282333537,6.87444915463e-05
262144,14,1023,0.00505821684941,6.6804889794e-05
262144,14,2047,0.00306697178789,6.50587218937e-05
262144,14,4095,0.0017854085774,6.57269277779e-05
262144,14,8191,0.00100836941704,6.19314242139e-05
262144,14,16383,0.000586566624621,6.24789950925e-05
262144,14,32767,0.000233526794202,6.27656549626e-05
262144,14,65535,8.3340515402e-05,6.16611416454e-05
262144,14,131071,9.384818055e-05,8.15983814664e-05
