L,T,chi,chi_err
20,7.9,0.16745761533333334,0.0005299442139068824
20,7.945,0.18417645266666668,0.0007512418990142497
20,7.9910000000000005,0.2020647253333334,0.0005252492242103974
20,8.036,0.22448121466666665,0.0007256033869049994
20,8.082,0.2530062453333333,0.0007812025054269655
20,8.127,0.2838830146666667,0.0008607854410442112
20,8.172,0.3234262213333334,0.0011175953760480556
20,8.218,0.3730609866666667,0.0011665089194427374
20,8.263,0.4332163133333336,0.0011793517569119814
20,8.309,0.5155980866666667,0.0014400606121355187
20,8.354,0.6270068200000002,0.0017638473754372575
20,8.4,0.7872588800000001,0.0021530216785375033
20,8.445,1.004285213333333,0.003306754268068773
20,8.49,1.3479527933333333,0.003007369587569814
20,8.536,1.9242005066666659,0.0054610146696069724
20,8.581,2.8927839066666663,0.009080085668163049
20,8.599783,3.5506421666666674,0.0077897983926823455
20,8.601830999999999,3.632586900000003,0.007740316865643039
20,8.603879,3.7232596333333343,0.007727564805590342
20,8.605928,3.817037166666666,0.007686278908918983
20,8.607975999999999,3.918100516666665,0.008555473843437019
20,8.610025,4.029503000000001,0.00827882234383514
20,8.612072999999999,4.127969866666667,0.008815990755002839
20,8.614122,4.270161766666668,0.008979806536880082
20,8.61617,4.366001483333334,0.009633330324101668
20,8.618217999999999,4.510700550000002,0.009656413105608734
20,8.620267,4.647807466666668,0.009769897441470016
20,8.622314999999999,4.769536333333331,0.01050294607205548
20,8.624364,4.85220056666667,0.010195608771590162
20,8.626412,4.928288333333335,0.010520084229251596
20,8.627,4.966061333333333,0.012049368828206905
20,8.62846,4.983123233333332,0.010727257136437313
20,8.630509,4.986217933333333,0.010235164068826992
20,8.632557,5.00410438333333,0.009661872963744215
20,8.634606,4.969638700000002,0.01100297792907828
20,8.636654,4.923986716666663,0.009479591644333913
20,8.638703,4.902721016666668,0.010627720788120892
20,8.640751,4.836263900000003,0.009050998674060104
20,8.642799,4.7543310666666665,0.00934329874713774
20,8.644848,4.708118916666664,0.00961480823990625
20,8.646896,4.613708349999997,0.008158006668858199
20,8.648945,4.544680916666668,0.009118471063904092
20,8.650993,4.463440033333332,0.00822239885902019
20,8.653042,4.396574516666665,0.008855277341239365
20,8.65509,4.317553133333332,0.009032595293041935
20,8.657138,4.255762583333332,0.008365774035505306
20,8.659187,4.190031616666668,0.008616193414970028
20,8.661235000000001,4.111957033333331,0.008044235617443022
20,8.663283999999999,4.04447303333333,0.007534121672229081
20,8.672,3.7786834666666658,0.009427673443574595
20,8.717,2.776057086666667,0.006269623007148061
20,8.763,2.1774506466666663,0.006914859710584804
20,8.77846,2.02517158,0.005381755475690051
20,8.808,1.794154753333334,0.005307990579734368
20,8.854,1.5136557599999998,0.0048975613069041244
20,8.899,1.3209989733333332,0.0030208146522961725
20,8.945,1.1657944800000002,0.0029991598529521828
20,8.99,1.0427483866666667,0.002858500006085187
20,9.035,0.9458650466666664,0.0026580205567781467
20,9.081,0.8663346533333335,0.002174147071703613
20,9.126,0.8025994333333332,0.0024736581235325
20,9.172,0.7424890866666668,0.0023286379258007405
20,9.217,0.6958423666666668,0.002342052421965489
