sigma,L,T,mean,sem
0.25,4096,0.85,7.763056420351999,0.051524476079451216
0.25,4096,0.875,5.822725081856003,0.04018807681812145
0.25,4096,0.9,4.247806396863998,0.03015119446148622
0.25,4096,0.925,3.012691908031991,0.021490607945727474
0.25,4096,0.95,2.0922184380160025,0.014424211169708729
0.25,4096,0.975,1.437728454719998,0.00905321387958352
0.25,4096,1.0,0.997284062400002,0.005247058263479508
0.25,4096,1.025,0.7112340229759989,0.002864762127941678
0.25,4096,1.05,0.5306423279360012,0.001500524896931891
0.25,4096,1.075,0.4151829688959999,0.0007768600407339648
0.25,4096,1.1,0.33940161702399835,0.00041441004589189547
0.25,4096,1.125,0.2877615878975998,0.00023877866404433995
0.25,4096,1.15,0.25062694658560003,0.00014738637405876828
0.25,4096,1.175,0.22337491222399988,0.0001001300225686462
0.25,4096,1.2,0.20241697734399994,7.39676708258677e-05
0.25,4096,1.225,0.18589241375359986,5.7411807715383865e-05
0.25,4096,1.25,0.17257568833920012,4.8930546358663844e-05
0.25,4096,1.275,0.16170087568639985,4.3020478647865976e-05
0.25,4096,1.3,0.15252770629119985,3.8243537905813316e-05
0.25,4096,1.325,0.1447625981567998,3.510775609904145e-05
0.25,4096,1.35,0.13817776113279967,3.2605928009153196e-05
0.25,4096,1.375,0.13239504473600006,3.0964594562645466e-05
0.25,4096,1.4,0.12737601461760015,2.926736206420047e-05
0.25,4096,1.425,0.1229542948543998,2.8188171938263288e-05
0.25,4096,1.45,0.11902996506879987,2.7380400700768466e-05
0.25,4096,1.475,0.11554244351359992,2.6165706423861845e-05
0.25,4096,1.5,0.11236318406400016,2.6087715329446413e-05
0.25,4096,1.525,0.10953451511680012,2.5504733555619946e-05
