N,b,r,C4_mean,C4_sem,alpha_mean,alpha_sem
67108864,12,0,1.0,0.0,,
67108864,12,1,0.223315466384,2.55489200298e-06,-0.468621310979,0.000161337789694
67108864,12,3,0.128642312206,2.77747517713e-06,-0.532037365334,7.38697911085e-05
67108864,12,7,0.0806890136945,2.9270921827e-06,-0.566872577048,4.45462823499e-05
67108864,12,15,0.051830154295,2.80739138723e-06,-0.595650452578,8.61483203573e-05
67108864,12,31,0.0332475793146,2.82765343705e-06,-0.628581910284,0.000108922891058
67108864,12,63,0.0210191312598,2.82972494552e-06,-0.665630997918,0.000146038428346
67108864,12,127,0.0129934366645,2.82901606784e-06,-0.706622751934,0.000276831654356
67108864,12,255,0.00781658316319,2.82302255597e-06,-0.751402725445,0.000311668962495
67108864,12,511,0.00456579301958,2.64508471704e-06,-0.79748349208,0.000568800207535
67108864,12,1023,0.00258357179765,2.61039601993e-06,-0.842620788498,0.000706629684263
67108864,12,2047,0.00141810981919,2.65129129222e-06,-0.886658951278,0.00153886675865
67108864,12,4095,0.000752349865796,2.61819763376e-06,-0.929213850757,0.00295045908047
67108864,12,8191,0.000391000527859,2.59286456168e-06,-0.966318363346,0.00539319875558
67108864,12,16383,0.00020018769789,2.74708379738e-06,-0.994915632521,0.0188183448615
67108864,12,32767,0.000102626106482,2.62152066676e-06,-1.01365232633,0.0517906549598
67108864,12,65535,5.02629736846e-05,2.61815241443e-06,,
67108864,12,131071,2.4142590571e-05,2.57284393751e-06,,
67108864,12,262143,1.3562543174e-05,2.6183997556e-06,,
67108864,12,524287,4.99735477416e-06,2.604372227e-06,,
67108864,12,1048575,1.08229199706e-06,2.61945125991e-06,,
67108864,12,2097151,2.2994048342e-06,2.60508464481e-06,,
67108864,12,4194303,3.27589480986e-06,2.6027456067e-06,,
67108864,12,8388607,-2.80979998375e-06,2.5856778417e-06,,
67108864,12,16777215,-1.95903422256e-06,2.61688578535e-06,,
67108864,12,33554431,-6.04189541619e-07,3.35307531801e-06,,
