sigma,z,L,T,mean,sem
0.375,6,1024,1.913,0.2903594699532007,0.0015249524433172536
0.375,6,1024,1.925,0.27703473911772497,0.0015051210622602587
0.375,6,1024,1.938,0.2638078938216861,0.0014784715763243481
0.375,6,1024,1.95,0.25063048188012577,0.001447799172405409
0.375,6,1024,1.962,0.2378347774758915,0.0014210927757413287
0.375,6,1024,1.975,0.2259206964012458,0.0013915661832297284
0.375,6,1024,1.988,0.2130684041946461,0.0013639593303676806
0.375,6,1024,2.0,0.20188369435494186,0.0013248478734683516
0.375,6,1024,2.013,0.19002831125493155,0.0013084506327839635
0.375,6,1024,2.025,0.1787942701517768,0.0012666930275743165
0.375,6,1024,2.0380000000000003,0.16872941076622416,0.0012462174707642544
0.375,6,1024,2.05,0.1582856916614008,0.0012170553186379893
0.375,6,1024,2.062,0.14851596988753146,0.0011790645345255064
0.375,6,1024,2.075,0.13935233353556492,0.0011420369147632226
0.375,6,1024,2.087,0.13066649373251174,0.0011185780074033634
0.375,6,1024,2.1,0.12163017295845875,0.0010906892630335098
0.375,6,1024,2.28,0.04565554453108971,0.0006690533096861044
0.375,6,1024,2.47,0.018887740010073203,0.0004000979262319125
0.375,6,1024,2.67,0.00987203472213406,0.00034690669943712195
0.375,6,1024,2.9,0.0060872827174277225,0.00034901238856055303
0.375,6,1024,3.14,0.004910428198549349,0.0003479558719709086
0.375,6,1024,3.4,0.004060860713364418,0.0003473251989432408
0.375,6,1024,3.69,0.00258868519551393,0.0003479150507436397
0.375,6,1024,4.0,0.002105590734962739,0.00035125767901619944
