N,Delta,Delta_err
64,0.0396606,0.0027414082
128,0.0797812,0.0037211397
256,0.175025,0.0053287452
512,0.313089,0.0065656449
1024,0.398248,0.0089857354
2048,0.504305,0.0090980943
3072,0.532537,0.0090911962
