Sigma,N,Q,Mean,Mean_err,Median,Median_err
0.6,128,0.0,0.0,0.0,0.0,0.0
0.6,128,0.015625,0.006998304537149102,0.00013815957511380248,0.00237163629909198,0.000109769549524228
0.6,128,0.03125,0.014004484211062006,0.00027535429928572035,0.004782375411693991,0.00023215252829460477
0.6,128,0.046875,0.021027232339072333,0.000410739197929341,0.00728994013738815,0.0003417651209058958
0.6,128,0.0625,0.02807570519093419,0.0005436254318316429,0.009860729160909229,0.00045628697640164424
0.6,128,0.078125,0.03516019339235145,0.0006735156344809609,0.012641085739610154,0.000569800137702402
0.6,128,0.09375,0.04229167392470791,0.0008001079109382762,0.015515309130766281,0.0007158453910414873
0.6,128,0.109375,0.049481883616442866,0.0009232699456520463,0.01857002044440005,0.0008778641873645955
0.6,128,0.125,0.05674333839509816,0.0010429909346951693,0.021915931190207686,0.0010904774968392827
0.6,128,0.140625,0.06408841706981193,0.0011593459732287578,0.02549548887710446,0.0012971304291065633
0.6,128,0.15625,0.07153040307723088,0.001272484731376316,0.029485213174973803,0.0015272816464190345
0.6,128,0.171875,0.0790826506784478,0.0013825846533016004,0.03383134531709752,0.0016798050207340737
0.6,128,0.1875,0.0867582135513526,0.0014898299873850251,0.03842810434686584,0.0018424582060245184
0.6,128,0.203125,0.0945704722116778,0.001594400070945303,0.04354259723916882,0.0021402029315967515
0.6,128,0.21875,0.10253347630311961,0.0016964591817678527,0.04921746047524871,0.002394399289583028
0.6,128,0.234375,0.11066262997600793,0.0017961522281075815,0.05568652139482054,0.0024664246779220016
0.6,128,0.25,0.1189741366160648,0.0018935969383501445,0.06224619742176678,0.0026126111193137754
0.6,128,0.265625,0.12748569839960625,0.0019888911683595143,0.06976958423506036,0.00230277883371576
0.6,128,0.28125,0.136216898772419,0.002082125300439699,0.07761375208761156,0.0023169735521774673
0.6,128,0.296875,0.14518864744431803,0.0021733815906593407,0.08578528683699779,0.0026602514787494274
0.6,128,0.3125,0.15442353395884625,0.002262741312369456,0.09463345086269798,0.0029174087057646284
0.6,128,0.328125,0.1639460290181675,0.002350284694383904,0.10480159608374401,0.003360975158726148
0.6,128,0.34375,0.17378218483063795,0.0024360743739377795,0.1150714648702983,0.00374604759970585
0.6,128,0.359375,0.18395912546034096,0.002520125681240786,0.12613030615980222,0.004385885561701339
0.6,128,0.375,0.19450717651259128,0.0026024148422057677,0.1377468494542363,0.004800835239865707
0.6,128,0.390625,0.2054601498899659,0.0026828740395207196,0.15048729811689385,0.0049472788802860925
0.6,128,0.40625,0.21685496789144476,0.002761391139990793,0.16368177441698684,0.005160368003668377
0.6,128,0.421875,0.2287330162236467,0.0028378170543930984,0.17818106423331587,0.0051028112812631435
0.6,128,0.4375,0.24114042626639243,0.0029119789643890876,0.19342169315870214,0.0057394912527076875
0.6,128,0.453125,0.2541286849102503,0.0029836803547678846,0.20979095312960905,0.006069601522394989
0.6,128,0.46875,0.2677546285616001,0.003052686070907353,0.2282345748526935,0.006157640814258499
0.6,128,0.484375,0.28207931701075956,0.0031187199679255343,0.2472734245060582,0.005595820464985753
0.6,128,0.5,0.29716988394379434,0.0031814470885859346,0.26715410007821655,0.0059317037961591264
0.6,128,0.515625,0.3130995511894778,0.0032404616452589145,0.2894278176472886,0.006010628509968272
0.6,128,0.53125,0.32994621721631867,0.0032952813852317516,0.3112473749807415,0.00678357368581434
0.6,128,0.546875,0.34779288043273565,0.003345296387488645,0.334696875086382,0.006424634045192199
0.6,128,0.5625,0.36672699607777604,0.0033897542633091427,0.35975086486503177,0.006087902991615693
0.6,128,0.578125,0.3868399038733596,0.003427740564405858,0.38633013470924044,0.0058547036180728014
0.6,128,0.59375,0.40822493212492206,0.003458107078157316,0.4145974020033014,0.005857567487000376
0.6,128,0.609375,0.43097495181684764,0.0034794385637845412,0.4449110703474586,0.006171375434883912
0.6,128,0.625,0.4551802711247233,0.003490033149416258,0.47500051156982337,0.006410332473581083
0.6,128,0.640625,0.48092186961237077,0.003487924517716964,0.5058554146017024,0.005413163855685287
