sigma,z,L,T,mean,sem
0.375,6,256,1.863,0.313645906239734,0.0010340855567317962
0.375,6,256,1.875,0.3046593684855053,0.0010208048984110094
0.375,6,256,1.887,0.2955708616221865,0.0010103244342178233
0.375,6,256,1.9,0.2865554363337806,0.000995007084303719
0.375,6,256,1.913,0.27804013835749075,0.0009797798091866706
0.375,6,256,1.925,0.2692889289397304,0.000966539392297326
0.375,6,256,1.938,0.2608755540651379,0.0009497516543911485
0.375,6,256,1.95,0.25258876100983124,0.0009353948159378287
0.375,6,256,1.962,0.2443099171144193,0.0009194248902119856
0.375,6,256,1.975,0.2365419788081273,0.0009038905851879187
0.375,6,256,1.988,0.22852627999504024,0.0008886440957719986
0.375,6,256,2.0,0.22094692549224446,0.0008681815401290247
0.375,6,256,2.013,0.21349723230537035,0.0008527065729967535
0.375,6,256,2.025,0.2061798522787556,0.0008355828019533954
0.375,6,256,2.0380000000000003,0.1989927160906161,0.0008183723197568439
0.375,6,256,2.05,0.19193297770817871,0.0008019655376706504
0.375,6,256,2.062,0.1850363501491212,0.0007851027877063969
0.375,6,256,2.075,0.1786616487590585,0.0007645974174809892
0.375,6,256,2.087,0.17214711765402513,0.0007503908046889003
0.375,6,256,2.1,0.16599842826789418,0.000731932922660639
0.375,6,256,2.47,0.056635787223897,0.00035013604935846515
0.375,6,256,2.9,0.0236110868334791,0.00024386154165122843
0.375,6,256,3.4,0.013222720202090688,0.00024151199499878912
0.375,6,256,4.0,0.008885616071372277,0.00024280965131493585
