sigma,z,L,T,mean,sem
0.0,6,512,1.85,2.032322697200008,0.009502889178499865
0.0,6,512,1.875,1.8823665555200049,0.00866071417349239
0.0,6,512,1.9,1.7449743936799955,0.007873690416822716
0.0,6,512,1.925,1.6196222547199934,0.00715821468878383
0.0,6,512,1.95,1.5027896398799994,0.006472560022044699
0.0,6,512,1.975,1.3968817377599985,0.005871367249984708
0.0,6,512,2.0,1.3001508937679942,0.005288851244188196
0.0,6,512,2.025,1.2115161566719983,0.00478143207963208
0.0,6,512,2.05,1.1307169883759984,0.004295805023130367
0.0,6,512,2.075,1.056348502751996,0.00386084616304156
0.0,6,512,2.1,0.9887245230879992,0.003458888257041705
0.0,6,512,2.125,0.92825200124,0.003110269690863872
0.0,6,512,2.15,0.8720524027279999,0.002787054831616219
0.0,6,512,2.175,0.8210126116719977,0.002502207535520186
0.0,6,512,2.2,0.7747948542640001,0.002243641944737591
0.0,6,512,2.225,0.7320343511360007,0.002008693647655314
0.0,6,512,2.25,0.6934245138160002,0.001803832127406552
0.0,6,512,2.275,0.6586496195680002,0.001612217657374628
0.0,6,512,2.3,0.6259106917280006,0.0014451698369964624
0.0,6,512,2.325,0.5966040059600024,0.001300126184251944
0.0,6,512,2.35,0.569677013056001,0.00116762183492571
0.0,6,512,2.375,0.5448553464639997,0.0010542425828047666
0.0,6,512,2.4,0.5220952274719999,0.0009529762472789764
0.0,6,512,2.425,0.5008359720479995,0.0008581395991425743
0.0,6,512,2.45,0.4818282229759983,0.000779804533504146
0.0,6,512,2.475,0.4645006809200015,0.0007090225596086434
0.0,6,512,2.5,0.4476323207520002,0.000646651175242704
