T,N,Delta,Delta_err
0.5,256,0.00153752,0.00068707
0.5,625,0.00636319,0.0012439476
0.5,1296,0.00883608,0.0016335532000000001
0.5,2401,0.025737,0.0024221432
0.5,4096,0.043591399999999995,0.0036827328000000005
0.5,6561,0.0754153,0.004813044
