d,L,Q,Av,Median
3,4,0.0,0.00307119,5.3405799999999996e-05
3,4,0.03125,0.00920184,0.00017547599999999998
3,4,0.0625,0.0155268,0.00035095199999999997
3,4,0.09375,0.0219261,0.000595093
3,4,0.125,0.0283976,0.0008945460000000001
3,4,0.15625,0.0349082,0.00134659
3,4,0.1875,0.041548699999999994,0.00198746
3,4,0.21875,0.0484482,0.00278282
3,4,0.25,0.05557569999999999,0.0038929000000000004
3,4,0.28125,0.0627975,0.00527191
3,4,0.3125,0.0701402,0.00730324
3,4,0.34375,0.07778589999999999,0.00975227
3,4,0.375,0.0859012,0.0130043
3,4,0.40625,0.0946299,0.0170269
3,4,0.4375,0.104029,0.021921200000000002
3,4,0.46875,0.11418800000000001,0.028203899999999997
3,4,0.5,0.12497,0.0361366
3,4,0.53125,0.1367,0.045856400000000005
3,4,0.5625,0.14960199999999998,0.058139800000000005
3,4,0.59375,0.16403,0.0743885
3,4,0.625,0.179978,0.093895
3,4,0.65625,0.198181,0.117497
3,4,0.6875,0.219176,0.145174
3,4,0.71875,0.24363200000000002,0.17782
3,4,0.75,0.27204,0.22286399999999998
3,4,0.78125,0.306637,0.27553
3,4,0.8125,0.349827,0.342954
3,4,0.84375,0.404616,0.41857
3,4,0.875,0.47585500000000003,0.509567
3,4,0.90625,0.570433,0.618499
3,4,0.9375,0.6963,0.751467
3,4,0.96875,0.852611,0.8978889999999999
3,4,1.0,1.0,1.0
