sigma,L,T,mean,sem
0.25,1024,0.75,8.428625259595494,0.038037118426116914
0.25,1024,0.775,7.080888008676701,0.032837049121735004
0.25,1024,0.8,5.880110835181401,0.028000460049690704
0.25,1024,0.825,4.8288935931879715,0.02351652689915846
0.25,1024,0.85,3.9222268801781937,0.019414478030848902
0.25,1024,0.875,3.153183074773997,0.01570706229508765
0.25,1024,0.9,2.512018627764085,0.012420857841492824
0.25,1024,0.925,1.9917704133742216,0.009587864530855179
0.25,1024,0.95,1.5748990443532631,0.0071826168274297456
0.25,1024,0.975,1.2514298521955478,0.0052552809655755746
0.25,1024,1.0,1.0022582332006915,0.0037396806728974595
0.25,1024,1.025,0.8142375554385733,0.002594577228722905
0.25,1024,1.05,0.6725364104288148,0.0017735974652859012
0.25,1024,1.075,0.5667453181035287,0.0011955866171097
0.25,1024,1.1,0.4868345010817768,0.0008042200669784853
0.25,1024,1.125,0.4261992802142682,0.0005458726825008788
0.25,1024,1.15,0.3792437414390918,0.00037491806023670513
0.25,1024,1.175,0.3424412650268852,0.0002635506240246493
0.25,1024,1.2,0.3131899949579578,0.00018952591276555125
0.25,1024,1.225,0.2893840373239445,0.00014093846579532268
0.25,1024,1.25,0.2699204216933877,0.00010796153971928674
0.25,1024,1.275,0.2536438536705645,8.62095518940913e-05
0.25,1024,1.3,0.23979244084318505,7.049993632674329e-05
0.25,1024,1.325,0.22804554178690245,5.9034521139799294e-05
0.25,1024,1.35,0.2179261487717106,5.176382512647458e-05
0.25,1024,1.375,0.2090827082014222,4.522623980060309e-05
0.25,1024,1.4,0.2012657122263011,4.073218502709954e-05
0.25,1024,1.425,0.1944453585853185,3.779974784063158e-05
0.25,1024,1.45,0.18833937114059587,3.535238816830598e-05
0.25,1024,1.475,0.18290523449166046,3.341888538649916e-05
0.25,1024,1.5,0.17794164471075968,3.081232525690787e-05
