L,k,LogSweeps,mean,sem,knorm
28,10000,10,166.70487124107046,0.014204883321924605,1.0
28,11000,10,84.82251771115659,0.006524028969304431,1.4142135623730951
28,11110,10,42.78071704607998,0.005818549635879836,2.0
28,20000,10,43.290223224361036,0.002899046046091306,2.0
