sigma,z,L,T,mean,sem
0.25,6,16384,2.0,1.6958031463405685,0.01498909935326825
0.25,6,16384,2.025,1.3517837587290358,0.011042237900657169
0.25,6,16384,2.05,1.082748377313807,0.007960184382819016
0.25,6,16384,2.075,0.8763609164914848,0.00562656533391839
0.25,6,16384,2.1,0.7184779012151272,0.003944983114907164
0.25,6,16384,2.14,0.5398310190186054,0.002170314868403684
0.25,6,16384,2.18,0.4231169683185107,0.0011945732343740362
0.25,6,16384,2.22,0.3444389928791313,0.0006857075525744988
0.25,6,16384,2.26,0.2895117242724405,0.00041779452645625736
0.25,6,16384,2.3,0.2499902435563899,0.0002766161898932224
0.25,6,16384,2.35,0.2139976499622512,0.0001810843456954728
0.25,6,16384,2.4,0.18801308180434487,0.00013256796453997927
0.25,6,16384,2.45,0.16810622242308218,0.00010167046130633632
0.25,6,16384,2.5,0.15269754480171252,7.970011741298195e-05
