N,Delta,Delta_err
64,0.0,0.0
128,0.0,0.0
256,0.00176991,0.0005894479
512,0.00821808,0.0012781638
1024,0.0256065,0.0028994147999999997
2048,0.124503,0.0060077765
3072,0.219788,0.0075453748
