Sigma,N,Delta,Delta_err
0.784,64,0.001142334932602239,0.0005108677124742494
0.784,128,0.0015810276679841897,0.000558977692637587
0.784,256,0.0029250457038391227,0.0007312614259597807
0.784,512,0.0061455732667562895,0.001086394132800534
0.784,1024,0.008298022598870056,0.0012103909958335176
