Sigma,N,Delta,Delta_err
0.0,64,0.03946329913180742,0.002790476642409422
0.0,128,0.06299509619011694,0.0034469383029983153
0.0,256,0.0943952802359882,0.00430853535893936
0.0,512,0.13950691521346964,0.005287995974452965
0.0,1024,0.18434839554682383,0.007769358557763374
